,productName,brand,price,fabricType,closureType,countryOfOrigin,describe,productDescription,ratings,rate
948,"Propper Men's Edgetec Pants, Ranger, W: 40'' x Large: 36''", Propper,34.99,100% Polyester,Snap,Bangladesh,Durable water repellent (DWR) treatment resists dirt and moisture,"Pockets where you need them, super lightweight durability that lasts, the Men's 5-Pocket EdgeTec Slick Pant delivers the performance you need in the field.",Không có,Không có
949,Timberland Men's Washed Heavy Twill 5-Pocket Pant, Timberland,49.99,100% Cotton,Zipper,Bangladesh,100% Organically Grown Cotton,This comfortable and durable pant is made of 100% organically grown cotton and features a traditional 5-pocket style with a comfortable stretch.,Không có,Không có
950,Puma Mens Pivot Pants Casual - White, PUMA,40.0,"81% Cotton, 19% Polyester",Pull On,Không xác định,Full length,The Pivot Men's Basketball Pant Is Designed For You To Have Ice Cold Game While Keeping Warm.,Không có,Không có
951,PUMA Men's 101 Pant, PUMA,80.95,100% Polyester,Button,Vietnam,"PUMA 101 TECHNOLOGY-101 Fabric is our stretchiest bottoms fabric yet; It's also lightweight, quick drying, and moisture wicking","Feel weekend vibes everyday in our 101 pant, delivering refined style that is perfect for the course, a walk on the beach or anywhere you find yourself on a warm day.",1.0,Không có
952,GAP Men's Straight Fit Jeans, GAP,41.7,"67% Cotton, 27% Polyester, 5% Cotton Recycled, 1% Elastane",Pull On,Cambodia,"Gap champions a uniquely American sense of style with apparel that bridges the gaps between individuals, generations, and cultures","Modern American Optimism is in our DNA. Since 1969, we have acted as a force for good. Bridging the gaps between generations, backgrounds, and ideas through the honesty (and hope) of our eternal youthful energy.",5.0,3.3
953,Ariat Male Rebar M4 Low Rise DuraStretch Made Tough Stackable Straight Leg Pant Deep Forest 32W x 38L, ARIAT,44.97,Zipper,Straight,Không xác định,9 oz DuraStretch canvas,Không có,Không có,Không có
954,ARIAT mens M7 Slim Toro Straight Jean, ARIAT,79.95,100% Cotton,Button,Mexico,Slim through seat and thigh,"An update on a classic. Fitted through the hip and thigh with a straight leg, our M7 is slim and modern without being tight or restrictive.",33.0,4.2
955,"Champion Men's Jersey Gym, 100% Cotton Athletic, Sports Shorts, 7"" & 9""", Champion,28.22,100% Cotton,Drawstring,Honduras,"THE QUALITY AND COMFORT OF COTTON - Made from mid-weight, traceable U.S.-grown cotton produced using 2-5 times less water.","From workouts to weekend errands to backyard barbecues, Champion’s 100% cotton jersey gym shorts are built for almost anything. These versatile sports shorts are made from thicker, mid-weight U.S.-grown cotton that’s traceable and produced using 2-5 times less water. These classic athletic shorts are soft, comfortable, and absorbent, a perfect addition to your gym bag or weekend tote. Detailed with an elastic drawcord waistband, they will always deliver a custom fit at the waist. Deep side pockets and a back patch pocket conveniently hold your necessities. Long and loose, with a 9” Inseam that hits at the knee, these pure cotton gym shorts can work as serious training shorts or pick-up basketball shorts, and everything in between.",479.0,4.5
956,Nautica Men's Athletic Slim Stretch Denim Jean, Nautica,37.72,"79% cotton, 20% recycled cotton, 1% elastane.",Zipper,Bangladesh,SUSTAINABLY CRAFTED: Our Real Denim collection is designed for the environmentally conscious; better jeans for a bluer world,"Stretch denim that moves with you everywhere you go. With a classic wash and slim fit, these jeans are an essential for a well-rounded collection. They're stylish and comfortable to go from work to weekend with ease. From Nautica.",516.0,4.3
957,Under Armour Men's Drive Tapered Pants, Under Armour,85.0,"52% Polyester, 48% Elasterell-P",Zipper,Philippines,"UA Microthread fabric dries faster, won't cling to you, won't chafe & stretches without absorbing sweat","UA Microthread fabric dries faster, won't cling to you, won't chafe & stretches without absorbing sweat.Under Armour’s mission is to make all athletes better through passion, design and the relentless pursuit of innovation.Where we started? It all started with an idea to build a superior T-shirt.The technology behind Under Armour's diverse product assortment for men, women and youth is complex, but the program for reaping the benefits is simple: wear HeatGear when it's hot, ColdGear when it's cold, and AllSeasonGear between the extremes...",20.0,4.4
