,productname,brand,price,fabrictype,closuretype,countryoforigin,productdescription,ratings,rate,about,product_id,brand_id
353,GAP Men's Soft High Stretch Skinny Fit Denim Jeans, GAP,39.6,"70% Cotton, 28% Polyester, 2% Elastane",Button,Bangladesh,"Our softest denim yet, these skinny jeans are tight in all the right places. This is real denim that’s made to last.",421,4.5,"THE PERFECT SKINNY FIT JEANS: Cut slim and fitted, this pair of jeans is made from soft denim with GapFlex stretch technology for extra flexibility and total comfort",354,29
354,Columbia Men's Pacific Ridge Utility Pant, Columbia,19.26,"97% Cotton, 3% Elastane",Button,India,Look and feel good whatever the weather with our latest clothing and gear built to keep you comfortable and protected throughout the season.,13,4.5,Omni-Shield advanced repellency seals out splashes and stains advanced repellency,355,19
355,adidas Men's Ultimate 365 Fall Weight Golf Pants, adidas,82.69,"90% recycled polyester, 10% elastane dobby",Button,Indonesia,"These men's golf pants from adidas are perfect for cool fall days. With a tapered fit and textured fabric, they add the right amount of warmth without limiting your range of motion. They're made with a stretch-woven dobby fabric that's great for bending, crouching and twisting as needed. Front and back pockets keep your essentials close at hand.",Unknown,3,"These men's golf pants from adidas are perfect for cool fall days. With a tapered fit and textured fabric, they add the right amount of warmth without limiting your range of motion. They're made with a stretch-woven dobby fabric that's great for bending, crouching and twisting as needed. Front and back pockets keep your essentials close at hand.",356,80
356,Dickies Breast Cancer Awareness Men's Original 874 Work Pant, Dickies,29.99,"65% Polyester, 35% Cotton",Zipper,Guatemala,"The original Dickies Work Pants are an icon for a reason. They've been worn and loved by hard workers and thinkers who have made their mark on the job for over 60 years. With an ultradurable, twill blend that wears in comfortably without wearing out, functional features and classic, timeless style, these work pants are crafted to outlast the rest.",34,3,Our highest rise; sits at the natural waist,357,22
357,Under Armour Men's Stretch Woven Utility Tapered Workout Pant, Under Armour,90.0,"90% Polyester, 10% Elastane",Zipper,Vietnam,"UA Storm technology repels water without sacrificing breathability. Stretch-woven fabric is tough but lightweight. 4-way stretch construction moves better in every direction. Material wicks sweat & dries really fast. Encased elastic waistband with internal drawcord adjust. Open hand pockets & bonded, secure zip back pocket. Tapered leg fit with open hem.",53,4.3,UA Storm technology repels water without sacrificing breathability,358,75
358,Columbia Men's Narrows Pointe Pant, Columbia,30.45,"91% Polyester, 9% Elastane",Button,Unknown,"Hike, bike, and kick back with ease in these lightweight pants, featuring comfort stretch fabric with Omni-Shield to repel rain and stains and Omni-Shade UPF 50 sun protection. It’s a welcome layer of coverage, cut in an active fit that’s made to move seamlessly from adventure to adventure. Columbia offers these pants in multiple colors and sizes. Active Fit.",Unknown,3,Omni-Shade UPF 50 sun protection,359,19
359,Red Kap Men's Classic Work Jean, Red Kap,23.49,100% Cotton,Zipper,China,You can tough out any job with these rugged work jeans. They're made of prewashed 13.75 oz. heavyweight denim for durability and styled in a classic fit that accommodates your work boots. These classic work jeans also feature a traditional rise to ensure the comfort and coverage you need for the bending and climbing you do. Bartack reinforced pockets carry your stuff while enduring the heavy demands of jobs in construction and farming. These durable but comfortable classic jeans never miss a day of work.,1323,4.3,"Pant label length may state a longer finished dimension (34U, 36U, 37U) depending on the style, as items are cut to order.",360,60
360,Under Armour Men's Utility Sliding Shorts 21, Under Armour,34.99,100% Knit,Pull On,Cambodia,"Under Armour’s mission is to make all athletes better through passion, design and the relentless pursuit of innovation. The technology behind Under Armour's diverse product assortment is complex, but the program for reaping the benefits is simple: wear HeatGear when it's hot, ColdGear when it's cold, and AllSeasonGear between the extremes.",123,4.3,"Under Armour’s mission is to make all athletes better through passion, design and the relentless pursuit of innovation",361,75
361,HUK Men's Next Level Quick-Drying Performance Fishing Shorts, HUK,53.11,"55% Cotton, 35% Polyester, 10% Spandex",Button,Guatemala,"The Huk Next Level 10.5"" Short: Any day is a good day when you get to wear shorts. These start out as a classic button, zip fly, 2 front pocket, 2 rear zip pocket, 1 cargo short, but that where normal stops. This classic 10.5"" short is super-comfortable and has a ton of tech and performance built in them. Huk uses a lightweight, quick dry, UPF +30 stretch fabric gusseted crotch to keep your mobility at a premium. Rear yoke includes laser perforation to further enhance the quick dry / breathability of these shorts. Lastly, Huk added an adjustable waistband for a perfect fit. On the boat, dock or just hanging around town, these will make your day a little better and always have you at the ready to fish. At Huk, we unite all anglers through performance-engineered, technical gear designed to fuel your passion and pursuit no matter when, where or how you fish.",538,4.7,"Huk: Uniting anglers through performance-engineered, technical gear designed to fuel your passion and pursuit no matter when, where or how you fish",362,33
362,Nautica Men's Classic Fit Twill Pants, Nautica,38.92,100% Cotton,Zipper,Bangladesh,Flat-front tailoring and a classic-fit make these signature cotton-twill pants sharp and comfortable for all-day wear.,226,4.5,Zip and button closure,363,51
